Id,Question,Gen.contains(Man),Comment
462,What was the material used in the Twilight after the Rain?,null,Incorrect partial DRS
463,What was the material used in the Two Bottles?,false,Incorrect Query Ontology Representation
464,What was the material used in the Two Cedars?,true,Ok
465,What was the material used in the Two Forty-Seven P. M.?,null,Incorrect Stanza Parsing
466,What was the material used in the Two Magnolias?,true,Ok
467,What was the material used in the Undaunted (Torso)?,true,Ok
468,What was the material used in the Up with the Sun?,null,Incorrect partial DRS
469,What was the material used in the Utah Landscape?,true,Ok
470,"What was the material used in the Vaatedal, Jolster, Norway?",null,Incorrect Stanza Parsing
471,What was the material used in the Valley of the Swiftcurrent?,null,Incorrect partial DRS
472,What was the material used in the Velvet Petals?,true,Ok
473,What was the material used in the Vermont in November?,null,Incorrect partial DRS
474,What was the material used in the Vertical Roll?,true,Ok
475,What was the material used in the Victime?,false,Incorrect Query Ontology Representation
476,What was the material used in the View Toward South?,null,Incorrect partial DRS
477,What was the material used in the Village Square?,true,Ok
478,What was the material used in the Watching?,false,Incorrect Query Ontology Representation
479,What was the material used in the Weighing In?,null,Incorrect partial DRS
480,What was the material used in the What Price Watermellon??,null,Incorrect Stanza Parsing
481,What was the material used in the White Daisies Rhapsody?,null,Incorrect Stanza Parsing
482,What was the material used in the White Tanks?,true,Ok
483,What was the material used in the Will o' the Wisp?,null,Incorrect partial DRS
484,What was the material used in the William Thaw?,true,Ok
485,What was the material used in the Winter Bluebirds?,true,Ok
486,What was the material used in the Winter Brook?,true,Ok
487,What was the material used in the Within the Window?,null,Incorrect partial DRS
488,What was the material used in the Woman in Calico?,null,Incorrect partial DRS
489,What was the material used in the Woman in Striped Dress?,null,Incorrect partial DRS
490,What was the material used in the Woman of Canaan?,null,Incorrect partial DRS
491,What was the material used in the Women Bathing?,false,Incorrect Query Ontology Representation
492,What was the material used in the Women Gathering Yucca Plants?,null,Incorrect Stanza Parsing
493,What was the material used in the Wonderland?,true,Ok
494,What was the material used in the Workers-Slotters Machine?,null,Incorrect Stanza Parsing
495,What was the material used in the World Trade Center?,null,Incorrect Stanza Parsing
496,What was the material used in the World Unity or Oblivion?,null,Incorrect partial DRS
497,What was the material used in the Wyatt Eaton?,true,Ok
498,What was the material used in the Wyoming?,true,Ok
499,What was the material used in the Young Man in Red Sweater?,null,Incorrect partial DRS
500,What was the material used in the Yucca (Yucca baileyi)?,null,Incorrect partial DRS
